"Name","2017 Population"
"Wijk bij Duurstede",23693
"Voorst",23676
"Steenbergen",23582
"Oud-Beijerland",23569
"Wierden",23244
"Schijndel",23239
"Nuenen",23223
"Putten",23168
"Oldebroek",23010
"Scheveningen",23000
"Loon op Zand",23000
"Aalsmeer",22991
"Goirle",22646
"Rucphen",22641
"Voorschoten",22468
"Losser",22431
"Borssele",22285
"Veere",22173
"Lisse",22096
"Volendam",22000
"Hellevoetsluis",21927
"Elburg",21844
"Hoogezand",21480
"Brummen",21344
"Woensdrecht",21276
"Oegstgeest",21149
"Hendrik-Ido-Ambacht",21027
"Geertruidenberg",20941
"Leerdam",20758
"Gendringen",20718
"Borne",20550
"Heiloo",20510
"Elst",20488
"Zundert",20476
"Tubbergen",20334
"Tegelen",20190
"Berkel en Rodenrijs",20189
"Raalte",20015
"Katwijk aan Zee",20010
"Stadskanaal",20000
"Cranendonck",19966
"Meerssen",19933
"Vianen",19931
"Tongelre",19680
"Leek",19651
"Lichtenvoorde",19590
"Wisch",19496
"Nunspeet",19496
"Bodegraven",19395
"Bladel",19214
"'s-Gravenzande",19190
"Aalten",19141
"Haren",19088
"Zeewolde",19022
"Benthuizen",18959
"Schagen",18930
"Groesbeek",18741
"Pijnacker",18695
"Driebergen-Rijsenburg",18553
"Winschoten",18506
"Heerde",18428
"Hillegom",18419
"Alblasserdam",18348
"Rhoon",18250
"Eersel",18185
"Bergeyk",18181
"Rhenen",18061
"Someren",18037
"Druten",18003
"Bunschoten",17824
"Weesp",17802
"Naaldwijk",17753
"Velp",17669
"Middelharnis",17554
"Broek in Waterland",17382
"Enkhuizen",17365
"Urk",17345
"Vlagtwedde",17286
"Beek",17144
"Steenwijk",17138
"Naarden",17115
"Sint-Oedenrode",16931
"Zandvoort",16868
"Bloemendaal",16802
"Korrewegwijk",16710
"Waalre",16665
"Gennep",16642
"Bergschenhoek",16579
"Eibergen",16493
"Asten",16185
"Lindenholt",16121
"Harlingen",16119
"Nederweert",16095
"Hoge Vucht",16000
"Westervoort",15976
"Harenkarspel",15941
"Staphorst",15765
"Nuth",15748
"Boskoop",15222
"Voorhout",15145
"Hilvarenbeek",15113
"Noordwijkerhout",15071
"Rijnsburg",14925
"Dieren",14842
"Sassenheim",14817
"Bennekom",14810
"Slochteren",14696
"Coevorden",14600
"Breukelen",14498
"Winsum",14310
"Woudrichem",14208
"Bunnik",14064
"Haaren",14031
"Lopik",14013
"Maasbracht",13717
"Margraten",13510
"Twello",13500
"Montfoort",13395
"Oude Pekela",13386
"Dokkum",13145
"Grave",12999
"Franeker",12996
"Joure",12902
"Maasbree",12835
"Reeuwijk",12817
"Vaassen",12719
"Lunteren",12510
"Boxmeer",12407
"Appingedam",12364
"Lochem",12360
"Schoonhoven",12352
"Vriezenveen",12310
"Klazienaveen",11919
"Sint Anthonis",11887
"Hattem",11876
"De Lier",11823
"Eijsden",11795
"Uitgeest",11794
"Lunetten",11679
"Grootegast",11623
"Goedereede",11597
"Monster",11580
"Neerijnen",11532
"Laren",11508
"Camminghaburen",11500
"Doesburg",11480
"Goor",11460
"Simpelveld",11424
"Geffen",11344
"Made",11340
"Zelhem",11324
"Woudenberg",11305
"Stein",11290
"Ulrum",11240
"Opmeer",11183
"Oosterbeek",11138
"Nieuwkoop",11128
"Neede",10887
"Hulst",10802
"Bedum",10750
"Leimuiden",10731
"Hoogland",10587
"Son",10550
"Oosterpark",10550
"Bleiswijk",10549
"Zuidlaren",10410
"Oirschot",10393
"Sint-Michielsgestel",10380
"Borculo",10373
"Doorn",10330
"Landsmeer",10279
"Vaals",10224
"Eerbeek",10103
"Burgum",10057
"Lemmer",10050
"Leesten",10000
"Heer",10000
"'s-Gravenland",10000
"Haelen",9935
"Mierlo",9920
"Monnickendam",9918
"Bloemendaal",9900
"Halsteren",9850
"Oudewater",9836
"Vlist",9806
"Liesveld",9767
"Voorthuizen",9710
"Boekel",9668
"Heeze",9550
"Nieuw-Lekkerland",9535
"Renkum",9421
"Hoek van Holland",9400
"Strijen",9371
"Blaricum",9206
"Warnsveld",9200
"Bolsward",9160
"Huizum",9000
"Brielle",9000
"Arcen",8793
"Hengelo",8500
"Vroomshoop",8480
"Elsloo",8300
"Sappemeer",8298
"Ouderkerk aan de Amstel",8228
"Axel",8149
"Emmer-Compascuum",8130
"'s-Heerenberg",8000
"Stiens",7804
"Tholen",7732
"Leersum",7502
"Rheden",7450
"Edam",7380
"Honselersdijk",7366
"Meerhoven",7175
"Randenbroek",7131
"Hasselt",6959
"Delden",6920
"Gorredijk",6880
"Schaijk",6840
"Baarle-Nassau",6727
"Nieuw-Helvoet",6610
"Zuidhorn",6559
"Yerseke",6541
"Berghem",6500
"Heino",6459
"Heythuysen",6420
"De Doornakkers",6345
"Kortenhoef",6250
"Reuver",6212
"Den Burg",6160
"Zeeland",6159
"Valkenburg",6020
"Varsseveld",6000
"Bilgaard",6000
"Klundert",6000
"Nieuw-Loosdrecht",5970
"Katwijk aan den Rijn",5940
"Ouddorp",5930
"Klundert",5873
"Aarle-Rixtel",5814
"Poeldijk",5800
"Aalburg",5788
"Buitenpost",5764
"Grou",5737
